id,label,kind,layer,country,ein,magnitude,flow_edges_out,given_usd_headline_sum,given_fmt,flow_edges_in,received_usd_headline_sum,received_fmt,notes_excerpt
p_world_can_t_wait,World Can’t Wait,project,party,,,,0,,,1,,,Activism · Far-left (revolutionary) · antifa:YES
p_youth_vs_apocalypse,Youth Vs Apocalypse,project,veneer,,,,0,,,1,,,Environmental/Youth · Left-wing (environmental justice)
pi,Progressive International,org,party,,93-3021918,,0,,,0,,,Co-founded by DiEM25 + Sanders Institute; DSA is a formal member (Oct 2023); connects European left to US orgs
psl,Party for Socialism & Liberation,org,party,US,,,0,,,1,,,Marxist-Leninist electoral party || US Marxist-Leninist party; shared leadership with People's Forum || 527 political action committee/political party (NOT a 50
puf,Progress Unity Fund,org,party,,94-3382208,,0,,,0,,,
pwa,People's Welfare Association,org,money,,83-4705654,,0,,,0,,,
ron,Carlos Ron,person,money,Venezuela,,,0,,,0,,,"Board/team member (Tricontinental); fmr Venezuelan Deputy FM; org(s): Tricontinental, (Venezuela state); §VII"
rub_british_cuba_solidarity_ca,British Cuba Solidarity Campaign,org,money,UK,,,0,,,0,,,foreign_solidarity; report §V-VI.
rub_canadian_network_on_cuba,Canadian Network on Cuba,org,money,Canada,,,0,,,0,,,foreign_solidarity; report §V-VI.
rub_germany_cuba_friendship_as,Germany-Cuba Friendship Association,org,money,Germany,,,0,,,0,,,foreign_solidarity; report §V-VI.
rub_international_may_day_brig,International May Day Brigade,org,money,,,,0,,,0,,,"us_fiscally_sponsored; report §V-VI. Direct, structural interlock, not incidental: NNOC's own page states 'Each year, the NNOC works with ICAP...to lead the"
rub_p_onyesonwu_chatoyer,Onyesonwu Chatoyer,person,money,,,,0,,,0,,,"Lead coordinator (US contingent); NNOC co-chair; VB organize; org(s): International May Day Brigade, National Network on Cuba, Ven; §VII"
rub_p_rev_lucius_walker,Rev. Lucius Walker,person,money,,,,0,,,0,,,Founder; org(s): IFCO / Pastors for Peace; §VII
rub_p_suzanne_adely,Suzanne Adely,person,money,,,,0,,,0,,,President; org(s): National Lawyers Guild; §VII
rub_palestinian_islamic_jihad,Palestinian Islamic Jihad,org,terror,,,,0,,,1,,,foreign_militant_terror; report §VIII.
rub_the_jericho_movement,The Jericho Movement,org,money,,,,0,,,1,,,us_fiscally_sponsored; report §VII.
rub_venceremos_brigade,Venceremos Brigade,org,money,,,,0,,,2,,,"us_fiscally_sponsored; report §I-III, IV, V-VI, VII. Founded 1969; transported thousands of American radicals to Cuba over 50+ years; ""dominated by Cuban spies"""
rub_weather_underground,Weather Underground,org,context,,,,0,,,1,,,"us_radical_historical; report §I-III, V-VI, VIII. Alleged direct Cuban official contact and covert operational support to bombings — uncited claim."
rub_witness_for_peace_solidari,Witness for Peace Solidarity Collective,org,money,,,18.5,0,,,0,,,us_501c3_active; report §V-VI. NNOC member (formal coalition member; roster-verified)
scharenberg,Albert Scharenberg,person,money,,,2.0,0,,,0,,,Co-ED RLS-NYC (2013-2018); organized the Mar 2018 European delegation to the CPC Summit
tricontinental,Tricontinental: Institute for Social Research,org,money,US,82-2882135,30.8,0,,,1,,,"Prashad-led; IPA research arm || Prashad-led; personnel collaborated with RLS South Asia; $3.015M to People's Forum (2018) || us_501c3_active; report §I-III, V-"
uts,Union Theological Seminary,org,veneer,,13-1624238,,0,,,0,,,
venezuela,Venezuela,concept,state,Venezuela,,9.0,0,,,2,,,Venezuela — foreign-state tie hub
ydsa,Young DSA (YDSA),org,veneer,US,,,0,,,1,,,Youth DSA; RLS-NYC co-sponsored its 'Generation Left' Winter Conference (Feb 2016)
