edge_idx,funder,funder_label,recipient,recipient_label,relation,confidence,slices,label,headline_usd,headline_fmt,all_amounts,flags,compiler_caveat,url
89,afgj,Alliance for Global Justice,p_otros_mundos_a_c,Otros Mundos A.C.,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Environmental/Social Justice),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
90,afgj,Alliance for Global Justice,p_peace_education,Peace Education,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Education),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
91,afgj,Alliance for Global Justice,p_people_helping_people,People Helping People,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Humanitarian),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
92,afgj,Alliance for Global Justice,p_philly_thrive,Philly Thrive,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Environmental Justice),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
93,afgj,Alliance for Global Justice,p_poor_people_s_economic_human_rights_ca,Poor People’s Economic Human Rights Campaign,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Economic Justice),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
94,afgj,Alliance for Global Justice,p_popular_resistance,Popular Resistance,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Media/Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
95,afgj,Alliance for Global Justice,p_pueblo_sin_fronteras,Pueblo Sin Fronteras,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Immigration),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
96,afgj,Alliance for Global Justice,p_queer_food_foundation,Queer Food Foundation,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Food Justice/LGBTQ),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
97,afgj,Alliance for Global Justice,p_radical_bloggers_fund,Radical Bloggers Fund,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Media/Funding),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
98,afgj,Alliance for Global Justice,p_real_food_generation,Real Food Generation,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Food Justice),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
99,afgj,Alliance for Global Justice,p_real_name_campaign_nola,Real Name Campaign NOLA,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Criminal Justice),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
100,afgj,Alliance for Global Justice,p_reale_justice_network,Reale Justice Network,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Criminal Justice),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
101,afgj,Alliance for Global Justice,p_reconnect_earth,Reconnect Earth,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Environmental),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
102,afgj,Alliance for Global Justice,p_red_de_solidaridad,Red de Solidaridad,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (International Solidarity),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
103,afgj,Alliance for Global Justice,p_refuse_fascism,Refuse Fascism,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
104,afgj,Alliance for Global Justice,p_return_solidarity,Return Solidarity,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (International Solidarity),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
105,afgj,Alliance for Global Justice,p_reuniting_of_african_descendants_road,Reuniting of African Descendants (ROAD),fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Pan-African),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
106,afgj,Alliance for Global Justice,p_solidarity_ignite,Solidarity Ignite,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
107,afgj,Alliance for Global Justice,p_south_bronx_unite,South Bronx Unite,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Environmental Justice),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
108,afgj,Alliance for Global Justice,p_splitseed_productions,SplitSeed Productions,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Media/Arts),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
109,afgj,Alliance for Global Justice,p_stop_mass_incarceration_network,Stop Mass Incarceration Network,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Criminal Justice),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
110,afgj,Alliance for Global Justice,p_suriname_indigenous_health_fund,Suriname Indigenous Health Fund,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Health/Indigenous),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
111,afgj,Alliance for Global Justice,p_sustainable_nations,Sustainable Nations,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Environmental/Indigenous),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
112,afgj,Alliance for Global Justice,p_sustainable_orphanages_for_haitian_you,Sustainable Orphanages for Haitian Youth,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Charity),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
113,afgj,Alliance for Global Justice,p_ta_ayush,Ta’ayush,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Peace/Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
114,afgj,Alliance for Global Justice,p_taking_black_pride,Taking Black Pride,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (LGBTQ/Cultural),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
115,afgj,Alliance for Global Justice,p_the_l_i_c_project,The L.I.C. Project,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Community/Arts),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
116,afgj,Alliance for Global Justice,p_thompson_house_tucson,Thompson House Tucson,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Community Space),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
117,afgj,Alliance for Global Justice,p_trans_women_of_color_solidarity_networ,Trans Women of Color Solidarity Network,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (LGBTQ),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
118,afgj,Alliance for Global Justice,p_ubuntu,UBUNTU,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Pan-African/Community),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
119,afgj,Alliance for Global Justice,p_unir,UNIR,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (International Solidarity),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
120,afgj,Alliance for Global Justice,p_united_students_against_sweatshops,United Students Against Sweatshops,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Labor/Student),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
121,afgj,Alliance for Global Justice,p_upland_grassroots,Upland Grassroots,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Environmental),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
122,afgj,Alliance for Global Justice,p_werk_for_peace,WERK for Peace,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (LGBTQ/Peace),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
123,afgj,Alliance for Global Justice,p_white_noise_collective,White Noise Collective,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
124,afgj,Alliance for Global Justice,p_woodbine_education_center,Woodbine Education Center,fiscal_sponsor,confirmed,afgj-projects,fiscal sponsor (Education/Community),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
125,afgj,Alliance for Global Justice,p_world_can_t_wait,World Can’t Wait,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Activism),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
126,afgj,Alliance for Global Justice,p_youth_vs_apocalypse,Youth Vs Apocalypse,fiscal_sponsor,confirmed,afgj-interlock|afgj-projects,fiscal sponsor (Environmental/Youth),,,,,,https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects
1014,afgj,Alliance for Global Justice,hub_occupy_wall_street,Occupy Wall Street,fiscal_sponsor,inferred,_mined,fiscal sponsor,,,,,,https://www.influencewatch.org/non-profit/alliance-for-global-justice/
134,answer,ANSWER Coalition,ev_nica_delegation_2021,AFGJ Intl Delegation to Nicaragua (Jul 2021),cosponsored,confirmed,latam-solidarity,co-sponsor,,,,,,https://afgj.org/statement-of-the-international-delegation-to-nicaragua-july-18-25-2021
829,answer,ANSWER Coalition,venezuela,Venezuela,sponsor,inferred,_mined,sponsor,,,,,,https://www.answercoalition.org/april_22_direct_from_venezuela
150,bap,Black Alliance for Peace,ev_nica_delegation_2021,AFGJ Intl Delegation to Nicaragua (Jul 2021),cosponsored,confirmed,latam-solidarity,co-sponsor,,,,,,https://afgj.org/statement-of-the-international-delegation-to-nicaragua-july-18-25-2021
828,brian_becker,Brian Becker,venezuela,Venezuela,sponsor,inferred,_mined,sponsor,,,,,,https://www.influencewatch.org/person/brian-becker/
1005,cuba,Cuba,rub_weather_underground,Weather Underground,funds,inferred,_mined,funds,,,,,,https://en.wikipedia.org/wiki/Weather_Underground
279,german_gov,German Federal Government,fes,Friedrich Ebert Stiftung Inc (FES),funds,confirmed,rls-germany,party-foundation appropriation,,,,,,https://en.wikipedia.org/wiki/Political_foundation_in_Germany
280,german_gov,German Federal Government,fns,Friedrich Naumann Foundation (FNS),funds,confirmed,rls-germany,party-foundation appropriation,,,,,,https://en.wikipedia.org/wiki/Political_foundation_in_Germany
281,german_gov,German Federal Government,hbs,Heinrich Boell Foundation (HBS),funds,confirmed,rls-germany,party-foundation appropriation,,,,,,https://en.wikipedia.org/wiki/Political_foundation_in_Germany
282,german_gov,German Federal Government,hss,Hanns Seidel Foundation USA (HSS),funds,confirmed,rls-germany,party-foundation appropriation,,,,,,https://en.wikipedia.org/wiki/Political_foundation_in_Germany
283,german_gov,German Federal Government,kas,Konrad Adenauer Stiftung Inc (KAS),funds,confirmed,rls-germany,party-foundation appropriation,,,,,,https://en.wikipedia.org/wiki/Political_foundation_in_Germany
284,german_gov,German Federal Government,rls_berlin,Rosa-Luxemburg-Stiftung e.V. (Berlin),funds,confirmed,rls-germany,EUR 71.2M (2024); formula on Die Linke vote share,,,,,,https://en.wikipedia.org/wiki/Political_foundation_in_Germany
893,german_gov,German Federal Government,p_coalition_of_women_for_peace,Coalition of Women for Peace,funds,inferred,_mined,funds,,,,,,https://ngo-monitor.org/ngos/coalition_of_women_for_peace/
298,hatuey,The Hatuey Project,minsap,MINSAP (Cuban Health Ministry),donations_to,confirmed,hatuey,donations to Cuban hospitals (MINSAP-run),,,,,,https://www.hatueyproject.org/
787,hatuey,The Hatuey Project,cuba,Cuba,donated,inferred,_mined,donated,,,,,,https://www.hatueyproject.org/news/hatuey-project-press-conference-in-cuba/
910,iran,Islamic Republic of Iran (state),rub_palestinian_islamic_jihad,Palestinian Islamic Jihad,funds,inferred,_mined,funds,,,,,,https://en.wikipedia.org/wiki/Palestinian_Islamic_Jihad
319,jef,Justice and Education Fund (JEF),tricontinental,Tricontinental: Institute for Social Research,funds,inferred,singham-spine,Singham-founded,,,,,,https://waysandmeans.house.gov/2025/09/04/chairman-smith-exposes-u-s-nonprofit-as-likely-ccp-funded-propaganda-arm-operating-under-tax-exempt-status/
799,pf,The People's Forum,rub_venceremos_brigade,Venceremos Brigade,fiscal_sponsor,inferred,_mined,fiscal sponsor,,,,,,https://vb4cuba.com/
843,pf,The People's Forum,btm,BreakThrough News,grant,inferred,_mined,grant,,,,,,https://en.wikipedia.org/wiki/BreakThrough_News
958,psf,People's Support Foundation (PSF),ucf,United Community Fund,funds,inferred,_mined,funds,,,,,,https://newlinesmag.com/reportage/the-big-business-of-uyghur-genocide-denial/
565,rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),jacobin,Jacobin,cosponsor,confirmed,rls-germany,co-sponsored events; co-commissioned Nov 2025 poll,,,,,,https://rosalux.nyc/new-poll-democratic-socialism-is-now-mainstream/
568,rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),ydsa,Young DSA (YDSA),funds,inferred,rls-germany,'Generation Left' Winter Conference co-sponsor (Feb 2016),,,,,,https://keywiki.org/Rosa_Luxemburg_Stiftung
797,rub_association_for_investment,Association for Investment in Popular Action Committees,p_good_shepherd_collective,Good Shepherd Collective,fiscal_sponsor,inferred,_mined,fiscal sponsor,,,,,,https://assinvpopactcom.org/
719,rub_black_lives_matter_global,Black Lives Matter Global Network Foundation,p_black_trans_media,Black Trans Media,grant,inferred,_mined,grant,,,,,,https://www.influencewatch.org/non-profit/black-trans-media/
767,rub_black_lives_matter_global,Black Lives Matter Global Network Foundation,p_black_trans_travel_fund,Black Trans Travel Fund,grant,inferred,_mined,grant,,,,,,https://www.influencewatch.org/for-profit/the-black-trans-travel-fund/
604,rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,rub_the_jericho_movement,The Jericho Movement,fiscal_sponsor,inferred,rubio-cuba,fiscal sponsorship / Pastors-for-Peace caravan network,,,,,,https://thejerichomovement.com
605,rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,rub_venceremos_brigade,Venceremos Brigade,fiscal_sponsor,inferred,rubio-cuba,fiscal sponsorship / Pastors-for-Peace caravan network,,,,,,https://vb4cuba.com/
766,samidoun,Samidoun Palestinian Prisoner Solidarity Network,p_international_people_s_tribunal,International People’s Tribunal,co_sponsor,inferred,_mined,co sponsor,,,,,,https://samidoun.net/2023/01/28-january-public-launch-of-the-international-peoples-tribunal-on-u-s-imperialism-sanctions-blockades-and-economic-coercive-measures/
667,singham,Neville Roy Singham,pf,The People's Forum,funds,confirmed,hatuey,funds,,,,,,https://www.adl.org/resources/backgrounder/party-socialism-and-liberation-psl
791,singham,Neville Roy Singham,btm,BreakThrough News,funds,inferred,_mined,funds,,,,,,https://www.foxnews.com/politics/inside-cubas-foreign-influence-campaign-from-venceremos-brigade-1960s-saturday-union-hall
792,singham,Neville Roy Singham,answer,ANSWER Coalition,funds,inferred,_mined,funds,,,,,,https://www.foxnews.com/politics/inside-cubas-foreign-influence-campaign-from-venceremos-brigade-1960s-saturday-union-hall
793,singham,Neville Roy Singham,psl,Party for Socialism & Liberation,funds,inferred,_mined,funds,,,,,,https://www.foxnews.com/politics/inside-cubas-foreign-influence-campaign-from-venceremos-brigade-1960s-saturday-union-hall
928,singham,Neville Roy Singham,chung,David Sung Mo Chung,funds,inferred,_mined,funds,,,,,,https://www.influencewatch.org/non-profit/the-peoples-forum/
1010,singham,Neville Roy Singham,ipa,International Peoples' Assembly,funds,inferred,_mined,funds,,,,,,https://en.wikipedia.org/wiki/Neville_Roy_Singham
