person,person_label,org,org_label,org_kind,relation,tier,edge_label,confidence,slices
per_margaret_flowers,Margaret Flowers,p_popular_resistance,Popular Resistance,project,role,role,Co-director,confirmed,afgj-interlock
svart,Maria Svart,dsa,Democratic Socialists of America,org,director,role,DSA National Director,confirmed,rls-germany
kramer,Marian Kramer,gbi,General Baker Institute,org,trustee,role,trustee,inferred,_mined
mfernandez,Mariana Fernandez,rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),org,officer,role,Program Manager (2017-present),confirmed,rls-germany
per_mark_swartz,Mark Swartz,p_chicago_housing_justice_league,Chicago Housing Justice League,project,role,role,"Steering Committee member; Executive Director, Lawyers' Committee for Better Housing",confirmed,afgj-interlock
per_marlen_s_nchez,Marlen Sánchez,p_instituto_agroecol_gico_latinoamerican,Instituto Agroecológico Latinoamericano–Mesoamericana (IALA Mesoamerica),project,role,role,"Director, IALA Mesoamerica; National Coordinator of Agroecology, ATC (Asociación de Trabajadores del Campo",confirmed,afgj-interlock
per_mattie,Mattie,p_taking_black_pride,Taking Black Pride,project,role,role,"Core Organizer (also co-founder, Trans Women of Color Solidarity Network; helped pass WA SB5313 Gender Affirming Treatment Act 2021",confirmed,afgj-interlock
per_mattie,Mattie,p_trans_women_of_color_solidarity_networ,Trans Women of Color Solidarity Network,project,role,role,"Co-founder, Trans Women of Color Solidarity Network",confirmed,afgj-interlock
per_maurice_cook,Maurice Cook,p_march_4_racial_justice,March 4 Racial Justice,project,role,role,"Co-Chair / Co-Founder, March for Racial Justice; also Founder/ED of Serve Your City (SYC",confirmed,afgj-interlock
per_mavis_jay_sanders,Mavis-Jay Sanders,p_queer_food_foundation,Queer Food Foundation,project,role,role,Founding member,confirmed,afgj-interlock
danaher,Maya (Mandela) Danaher,arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",org,officer,role,"Treasurer, Arc of Justice, all filing yrs (990-PF)",confirmed,iran-network
per_mcahl_sheffield,Mcahl Sheffield,p_chicago_housing_initiative,Chicago Housing Initiative,project,role,role,Media Organizer Intern,confirmed,afgj-interlock
benjamin,Medea Benjamin,arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",org,officer,role,"President, Arc of Justice, all filing yrs (990-PF)",confirmed,iran-network
benjamin,Medea Benjamin,codepink,CODEPINK,org,co_founder,role,"Co-founded CODEPINK Nov 2002; Treasurer, $0 comp",confirmed,iran-network
benjamin,Medea Benjamin,codepink,CODEPINK,org,role,role,Co-founder,inferred,rubio-cuba
benjamin,Medea Benjamin,global_exchange,Global Exchange,org,co_founder,role,"Co-founded Global Exchange, 1988",confirmed,iran-network
benjamin,Medea Benjamin,hub_green_shadow_cabinet,Green Shadow Cabinet,org,role,role,role,inferred,_mined
benjamin,Medea Benjamin,rub_hamas,Hamas,org,coordinator,role,coordinator,inferred,_mined
per_meghan_maurus,Meghan Maurus,p_just_info,Just Info,project,role,role,"Attorney / Co-Founder, Maurus & Heinegg (New York Law Collective",confirmed,afgj-interlock
per_meghan_maurus,Meghan Maurus,nlg,National Lawyers Guild,org,coordinator,role,coordinator,inferred,_mined
per_melina_abdullah,Melina Abdullah,p_los_angeles_community_action_network,Los Angeles Community Action Network,project,role,role,Board,confirmed,afgj-interlock
per_melissa_barber_md,"Melissa Barber, MD",p_south_bronx_unite,South Bronx Unite,project,role,role,Founding Member and Board Member,confirmed,afgj-interlock
per_michael_cox,Michael Cox,p_black_and_pink_ma,Black and Pink MA,project,role,role,"Director of Policy, Black and Pink Massachusetts (formerly Executive Director",confirmed,afgj-interlock
per_michael_novick,Michael Novick,p_change_links_newspaper,Change-Links Newspaper,project,role,role,Editorial Staff,confirmed,afgj-interlock
per_mirely_baca,Mirely Baca,p_kindred_connections,Kindred Connections,project,role,role,Co-Founder,confirmed,afgj-interlock
zarif,Mohammad Javad Zarif,iran,Islamic Republic of Iran (state),concept,role,role,role,inferred,_mined
per_mohyeddin_abdulaziz,Mohyeddin Abdulaziz,p_arizona_palestine_solidarity_alliance,Arizona Palestine Solidarity Alliance,project,role,role,Co-Founder,confirmed,afgj-interlock
per_moira_meltzer_cohen,Moira Meltzer-Cohen,p_just_info,Just Info,project,role,role,"Attorney, New York Law Collective (listed under ""Who We Are""",confirmed,afgj-interlock
per_monxo_lopez,Monxo Lopez,p_south_bronx_unite,South Bronx Unite,project,role,role,Founding Member and Board Member,confirmed,afgj-interlock
per_mychal_johnson,Mychal Johnson,p_south_bronx_unite,South Bronx Unite,project,role,role,Founding Board Member & Organizational Lead (co-founder of South Bronx Unite,confirmed,afgj-interlock
valente,Mónica Valente,fsp,Foro de São Paulo,concept,secretary,role,Secretary of Foro de São Paulo,confirmed,latam-solidarity
taylor,Nancy Taylor,tricontinental,Tricontinental: Institute for Social Research,org,secretary,role,secretary,inferred,_mined
per_nate_kleinman,Nate Kleinman,p_interoccupy,InterOccupy,project,role,role,"Co-Founder, InterOccupy",confirmed,afgj-interlock
hrizi,Nathalie Patricia Hrizi,puf,Progress Unity Fund,org,president,role,president,inferred,_mined
per_nathan_sheard,Nathan Sheard,afgj,Alliance for Global Justice,org,director,role,director,inferred,_mined
per_nathan_sheard,Nathan Sheard,p_black_movement_law_project,Black Movement Law Project,project,role,role,Co-founder; managing director of advocacy (as of 2025,confirmed,afgj-interlock
rub_p_nayef_hawatmeh,Nayef Hawatmeh,rub_democratic_front_for_the_l,Democratic Front for the Liberation of Palestine,org,role,role,Founder,inferred,rubio-cuba
rub_p_nayef_hawatmeh,Nayef Hawatmeh,pflp,Popular Front for the Liberation of Palestine (PFLP),org,role,role,Founder,inferred,rubio-cuba
rub_p_nayef_hawatmeh,Nayef Hawatmeh,pflp,Popular Front for the Liberation of Palestine (PFLP),org,founder,role,founder,inferred,_mined
nmeyer,Neal Meyer,rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),org,officer,role,Assistant Office Manager (990-PF),confirmed,rls-germany
singham,Neville Roy Singham,codepink,CODEPINK,org,role,role,Funder / network architect,confirmed,rubio-cuba
singham,Neville Roy Singham,pf,The People's Forum,org,role,role,Funder / network architect,confirmed,rubio-cuba
singham,Neville Roy Singham,tricontinental,Tricontinental: Institute for Social Research,org,role,role,Funder / network architect,confirmed,rubio-cuba
maduro,Nicolás Maduro,ev_caracas_antifa_2024,Antifascist Congress of Caracas (Nov 28 2024),concept,led,role,'bravely led by President Maduro' (declaration),confirmed,latam-solidarity
maduro,Nicolás Maduro,venezuela,Venezuela,concept,role,role,role,inferred,_mined
maduro,Nicolás Maduro,venezuela,Venezuela,concept,president,role,president,inferred,_mined
maduro,Nicolás Maduro,venezuela,Venezuela,concept,candidate,role,candidate,inferred,_mined
rub_p_onyesonwu_chatoyer,Onyesonwu Chatoyer,rub_international_may_day_brig,International May Day Brigade,org,role,role,Lead coordinator (US contingent); NNOC co-chair; V,confirmed,rubio-cuba
rub_p_onyesonwu_chatoyer,Onyesonwu Chatoyer,rub_national_network_on_cuba,National Network on Cuba,org,role,role,Lead coordinator (US contingent); NNOC co-chair; V,confirmed,rubio-cuba
rub_p_onyesonwu_chatoyer,Onyesonwu Chatoyer,rub_venceremos_brigade,Venceremos Brigade,org,role,role,Lead coordinator (US contingent); NNOC co-chair; V,confirmed,rubio-cuba
rub_p_opal_tometi,Opal Tometi,bap,Black Alliance for Peace,org,role,role,Co-founder (BLM GNF); BAP founding/former advisory,inferred,rubio-cuba
rub_p_opal_tometi,Opal Tometi,rub_black_lives_matter_global,Black Lives Matter Global Network Foundation,org,role,role,Co-founder (BLM GNF); BAP founding/former advisory,inferred,rubio-cuba
per_oren_robinson,Oren Robinson,p_national_network_opposing_the_militari,National Network Opposing the Militarization of Youth,project,role,role,"NNOMY volunteer technical support person; Program Coordinator, Project on Youth & Non-Military Opportunities",confirmed,afgj-interlock
per_pablo_benson_silva,Pablo Benson-Silva,p_movement_net_lab,Movement Net Lab,project,role,role,"MNL staff member; member, NYC Network of Worker Cooperatives",confirmed,afgj-interlock
per_page_may,Page May,p_assata_s_daughters,Assata’s Daughters,project,role,role,Founder (2015,confirmed,afgj-interlock
per_pat_alviso,Pat Alviso,hub_military_families_speak_out,Military Families Speak Out,org,coordinator,role,coordinator,inferred,_mined
per_pat_alviso,Pat Alviso,p_national_network_opposing_the_militari,National Network Opposing the Militarization of Youth,project,role,role,"Steering Committee; National Coordinator, Military Families Speak Out (MFSO), Long Beach, CA",confirmed,afgj-interlock
rub_p_paul_larudee,Paul Larudee,rub_association_for_investment,Association for Investment in Popular Action Committees,org,role,role,Treasurer,inferred,rubio-cuba
per_rachel_o_leary_carmona,Rachel O'Leary Carmona,p_adastra,AdAstra,project,role,role,"Co-Founder & Managing Partner, AdAstra Management Collective",confirmed,afgj-interlock
per_rachel_wilson,Rachel Wilson,p_chicago_housing_justice_league,Chicago Housing Justice League,project,role,role,Senior Organizer (since 2024,confirmed,afgj-interlock
rub_p_ram_n_laba_ino,Ramón Labañino,rub_the_wasp_network_red_avisp,The Wasp Network / Red Avispa,org,role,role,Wasp agent (Cuban Five),inferred,rubio-cuba
khalek,Rania Abdul Khalek,btm,BreakThrough News,org,role,role,role,inferred,_mined
per_rebecca_heinegg,Rebecca Heinegg,p_just_info,Just Info,project,role,role,"Attorney / Co-Founder, Maurus & Heinegg (New York Law Collective",confirmed,afgj-interlock
bugni,Renata Porto Bugni,tricontinental,Tricontinental: Institute for Social Research,org,deputy_director,role,deputy director,inferred,_mined
rub_p_ren_gonz_lez,René González,rub_the_wasp_network_red_avisp,The Wasp Network / Red Avispa,org,role,role,Wasp agent (Cuban Five),inferred,rubio-cuba
rub_p_rev_lucius_walker,Rev. Lucius Walker,rub_ifco_pastors_for_peace,IFCO / Pastors for Peace,org,role,role,Founder,confirmed,rubio-cuba
richard_becker,Richard Becker,answer,ANSWER Coalition,org,coordinator,role,coordinator,confirmed,hatuey
richard_becker,Richard Becker,psl,Party for Socialism & Liberation,org,co_founder,role,PSL co-founder,confirmed,hatuey
per_rick_jahnkow,Rick Jahnkow,p_national_network_opposing_the_militari,National Network Opposing the Militarization of Youth,project,role,role,"NNOMY Volunteer Administrative Staff / Steering Committee Member (also Past Program Coordinator, Project on Youth and Non-Military Opportuni",confirmed,afgj-interlock
henderson,Rita Henderson,tricontinental,Tricontinental: Institute for Social Research,org,director,role,director,inferred,_mined
rub_p_robert_f_williams,Robert F. Williams,rub_naacp,NAACP,org,role,role,Radio Free Dixie; NAACP→Cuba exile,inferred,rubio-cuba
rub_p_robert_f_williams,Robert F. Williams,rub_republic_of_new_afrika,Republic of New Afrika,org,president,role,president,inferred,_mined
harris,Roger D. Harris,tfa,Task Force on the Americas,org,board_member,role,board,confirmed,latam-solidarity
hamby,Ryan Hamby,pf,The People's Forum,org,officer,role,"General Manager, People's Forum",inferred,singham-spine
croce,STEIN-DELLA CROCE,tricontinental,Tricontinental: Institute for Social Research,org,secretary,role,secretary,inferred,_mined
moseley,Saidi Moseley,pf,The People's Forum,org,education_coordinator,role,education coordinator,inferred,_mined
per_samantha_butler,Samantha Butler,p_chicago_housing_initiative,Chicago Housing Initiative,project,role,role,Research Organizer Intern,confirmed,afgj-interlock
per_samantha_parsons,Samantha Parsons,p_corporate_genome_project,Corporate Genome Project,project,role,role,Team member (bio on org's People page notes she is former co-founder and Campaigns Director of UnKoch My Campus,confirmed,afgj-interlock
per_samantha_parsons,Samantha Parsons,p_real_food_generation,Real Food Generation,project,role,role,Development Director,confirmed,afgj-interlock
xiao,Sheila Xiao,answer,ANSWER Coalition,org,coordinator,role,"chair, ANSWER LA (PUF = ANSWER sponsor)",confirmed,singham-spine
liebich,Stefan Liebich,rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),org,director,role,Executive Director (2023+),confirmed,rls-germany
ehmsen,Stefanie Ehmsen,rls_nyc,Rosa Luxemburg Stiftung Inc (RLS-NYC),org,director,role,Co-Executive Director (2013-2018),confirmed,rls-germany
per_steve_lalla,Steve Lalla,p_orinoco_tribune,Orinoco Tribune,project,role,role,Contributor/Journalist,confirmed,afgj-interlock
per_sunny_levine,Sunny Levine,p_queer_food_foundation,Queer Food Foundation,project,role,role,Chair of the Board,confirmed,afgj-interlock
per_sunsara_taylor,Sunsara Taylor,p_refuse_fascism,Refuse Fascism,project,role,role,Co-Founder & lead spokesperson,confirmed,afgj-interlock
per_sunsara_taylor,Sunsara Taylor,p_world_can_t_wait,World Can’t Wait,project,chaired,role,chaired,inferred,_mined
rub_p_suzanne_adely,Suzanne Adely,nlg,National Lawyers Guild,org,role,role,President,confirmed,rubio-cuba
per_t_loving,T Loving,p_kindred_connections,Kindred Connections,project,role,role,Co-Founder,confirmed,afgj-interlock
per_t_dubb_o,T-Dubb-O,p_hands_up_united,Hands Up United,project,role,role,Co-Founder,confirmed,afgj-interlock
per_t_sheri_dickerson,T. Sheri Dickerson,p_black_lives_matter_oklahoma_city,Black Lives Matter-Oklahoma City,project,role,role,legal name Tashella Sheri Amore Dickerson) (Executive Director / organizer and leader of Black Lives Matter Oklahoma and Black Lives Matter,confirmed,afgj-interlock
bounds,Tajee Bounds,pf,The People's Forum,org,coordinator,role,coordinator,inferred,_mined
per_tamara_shapiro,Tamara Shapiro,p_movement_net_lab,Movement Net Lab,project,role,role,"MNL staff member; member, NYC Network of Worker Cooperatives",confirmed,afgj-interlock
per_tara_thompson,Tara Thompson,p_hands_up_united,Hands Up United,project,role,role,Director,confirmed,afgj-interlock
per_taureen_tory_russell,"Taureen ""Tory"" Russell",p_hands_up_united,Hands Up United,project,role,role,Co-Founder,confirmed,afgj-interlock
per_tef_poe,Tef Poe,p_hands_up_united,Hands Up United,project,role,role,Co-Founder,confirmed,afgj-interlock
chak,Tings Chak,tricontinental,Tricontinental: Institute for Social Research,org,role,role,role,inferred,_mined
burke,Tom Burke,ev_fsp_caracas_2019,25th Foro de São Paulo (Caracas 2019),concept,led,role,led FRSO delegation,confirmed,latam-solidarity
burke,Tom Burke,frso,Freedom Road Socialist Organization,org,secretary,role,Organization Secretary,confirmed,latam-solidarity
per_trayce_peterson,Trayce Peterson,p_splitseed_productions,SplitSeed Productions,project,role,role,"Co-Founder (educator/organizer/storyteller, instructor in Human Rights Practice, University of Arizona",confirmed,afgj-interlock
per_vee_morris_moore,Vee Morris Moore,p_assata_s_daughters,Assata’s Daughters,project,role,role,Organizing and Programming Director,confirmed,afgj-interlock
prashad,Vijay Prashad,btm,BreakThrough News,org,role,role,role,inferred,_mined
prashad,Vijay Prashad,pi,Progressive International,org,council,role,former PI Council member,inferred,rls-germany
prashad,Vijay Prashad,tricontinental,Tricontinental: Institute for Social Research,org,director,role,"Director, Tricontinental",confirmed,rls-germany
prashad,Vijay Prashad,tricontinental,Tricontinental: Institute for Social Research,org,role,role,Executive Director,confirmed,rubio-cuba
per_vik_velazquez_morales,Vikó Velazquez Morales,p_kindred_connections,Kindred Connections,project,role,role,Co-Founder,confirmed,afgj-interlock
bello,Walden Bello,pi,Progressive International,org,council,role,PI Council member,confirmed,rls-germany
baptist,William Willie Baptist Jr.,p_poor_people_s_economic_human_rights_ca,Poor People’s Economic Human Rights Campaign,project,organizer,role,organizer,inferred,_mined
