id,label,kind,primary_slice,declared_country,final_country,place,method,matched_text,ambiguous
p_instituto_agroecol_gico_latinoamerican,Instituto Agroecológico Latinoamericano–Mesoamericana (IALA Mesoamerica),project,afgj-interlock,,,,none,,
p_international_indigenous_initiative_fo,InterNational Indigenous Initiative for Transformative Collaboration,project,afgj-projects,,,,none,,
p_international_journal_of_foreign_langu,International Journal of Foreign Language Teaching,project,afgj-projects,,,,none,,
p_international_people_s_tribunal,International People’s Tribunal,project,afgj-projects,,,,none,,
p_interoccupy,InterOccupy,project,afgj-interlock,,,,none,,
p_irish_diaspora_decolonization_alliance,Irish Diaspora Decolonization Alliance,project,afgj-projects,,,,none,,
p_just_info,Just Info,project,afgj-interlock,,,,none,,
p_justice_for_all_coalition,Justice for All Coalition,project,afgj-interlock,,,,none,,
p_juthour_arboretum,Juthour Arboretum,project,afgj-projects,,,,none,,
p_kevin_zeese_emerging_activists_fund,Kevin Zeese Emerging Activists Fund,project,afgj-interlock,,,,none,,
p_kindred_connections,Kindred Connections,project,afgj-interlock,,,,none,,
p_la_colectiva,La ColectiVA,project,afgj-projects,,,,none,,
p_labor_against_racism_and_war,Labor Against Racism and War,project,afgj-projects,,,,none,,
p_legal_defense_for_palestine,Legal Defense for Palestine,project,afgj-projects,,,,none,,
p_lgbt_freedom_and_asylum_network,LGBT Freedom and Asylum Network,project,afgj-projects,,,,none,,
p_lgbt_voice_tanzania,LGBT Voice Tanzania,project,afgj-projects,,,,none,,
p_lo_eterno_media_collective,Lo Eterno Media Collective,project,afgj-projects,,,,none,,
p_lupinewood,Lupinewood,project,afgj-projects,,,,none,,
p_march_4_racial_justice,March 4 Racial Justice,project,afgj-interlock,,,,none,,
p_march_4_racial_justice_ny,March 4 Racial Justice NY,project,afgj-projects,,,,none,,
p_miracle_for_mikeals_legacy_foundation,Miracle For Mikeals Legacy Foundation,project,afgj-projects,,,,none,,
p_mosaic_black_trans_funding_network,Mosaic Black Trans Funding Network,project,afgj-projects,,,,none,,
p_movement_net_lab,Movement Net Lab,project,afgj-interlock,,,,none,,
p_nappy_roots_books,Nappy Roots Books,project,afgj-interlock,,,,none,,
p_national_association_of_human_rights_d,National Association of Human Rights Defenders,project,afgj-projects,,,,none,,
p_national_immigrant_solidarity_network,National Immigrant Solidarity Network,project,afgj-projects,,,,none,,
p_national_network_opposing_the_militari,National Network Opposing the Militarization of Youth,project,afgj-interlock,,,,none,,
p_never_again_action,Never Again Action,project,afgj-interlock,,,,none,,
p_nicaragua_solidarity_fund,Nicaragua Solidarity Fund,project,afgj-projects,,,,none,,
p_o_odham_anti_border_collective,O’odham Anti Border Collective,project,afgj-projects,,,,none,,
p_otros_mundos_a_c,Otros Mundos A.C.,project,afgj-projects,,,,none,,
p_peace_education,Peace Education,project,afgj-projects,,,,none,,
p_people_helping_people,People Helping People,project,afgj-projects,,,,none,,
p_poor_people_s_economic_human_rights_ca,Poor People’s Economic Human Rights Campaign,project,afgj-interlock,,,,none,,
p_popular_resistance,Popular Resistance,project,afgj-interlock,,,,none,,
p_pueblo_sin_fronteras,Pueblo Sin Fronteras,project,afgj-projects,,,,none,,
p_queer_food_foundation,Queer Food Foundation,project,afgj-interlock,,,,none,,
p_radical_bloggers_fund,Radical Bloggers Fund,project,afgj-projects,,,,none,,
p_real_food_generation,Real Food Generation,project,afgj-interlock,,,,none,,
p_reale_justice_network,Reale Justice Network,project,afgj-projects,,,,none,,
p_reconnect_earth,Reconnect Earth,project,afgj-projects,,,,none,,
p_red_de_solidaridad,Red de Solidaridad,project,afgj-projects,,,,none,,
p_refuse_fascism,Refuse Fascism,project,afgj-interlock,,,,none,,
p_return_solidarity,Return Solidarity,project,afgj-projects,,,,none,,
p_reuniting_of_african_descendants_road,Reuniting of African Descendants (ROAD),project,afgj-projects,,,,none,,
p_solidarity_ignite,Solidarity Ignite,project,afgj-projects,,,,none,,
p_splitseed_productions,SplitSeed Productions,project,afgj-interlock,,,,none,,
p_stop_mass_incarceration_network,Stop Mass Incarceration Network,project,afgj-interlock,,,,none,,
p_suriname_indigenous_health_fund,Suriname Indigenous Health Fund,project,afgj-projects,,,,none,,
p_sustainable_nations,Sustainable Nations,project,afgj-projects,,,,none,,
p_sustainable_orphanages_for_haitian_you,Sustainable Orphanages for Haitian Youth,project,afgj-interlock,,,,none,,
p_ta_ayush,Ta’ayush,project,afgj-projects,,,,none,,
p_taking_black_pride,Taking Black Pride,project,afgj-interlock,,,,none,,
p_the_l_i_c_project,The L.I.C. Project,project,afgj-projects,,,,none,,
p_trans_women_of_color_solidarity_networ,Trans Women of Color Solidarity Network,project,afgj-interlock,,,,none,,
p_ubuntu,UBUNTU,project,afgj-projects,,,,none,,
p_unir,UNIR,project,afgj-projects,,,,none,,
p_united_students_against_sweatshops,United Students Against Sweatshops,project,afgj-interlock,,,,none,,
p_upland_grassroots,Upland Grassroots,project,afgj-projects,,,,none,,
p_werk_for_peace,WERK for Peace,project,afgj-interlock,,,,none,,
p_white_noise_collective,White Noise Collective,project,afgj-projects,,,,none,,
p_woodbine_education_center,Woodbine Education Center,project,afgj-projects,,,,none,,
p_world_can_t_wait,World Can’t Wait,project,afgj-interlock,,,,none,,
p_youth_vs_apocalypse,Youth Vs Apocalypse,project,afgj-interlock,,,,none,,
pel,Party of the European Left,org,rls-germany,,,,none,,
per_abraham_hassen,Abraham Hassen,person,afgj-interlock,,,,none,,
per_allen_kwabena_frimpong,Allen Kwabena Frimpong,person,afgj-interlock,,,,none,,
per_alyssa_rubin,Alyssa Rubin,person,afgj-interlock,,,,none,,
per_andrea_ciannavei,Andrea Ciannavei,person,afgj-interlock,,,,none,,
per_antonio_gutierrez,Antonio Gutierrez,person,afgj-interlock,,,,none,,
per_aquib_s_yacoob,Aquib S. Yacoob,person,afgj-interlock,,,,none,,
per_banbose_shango,Banbose Shango,person,afgj-interlock,,,,none,,
per_bella_de_soto,Bella De Soto,person,afgj-interlock,,,,none,,
per_carl_dix,Carl Dix,person,afgj-interlock,,,,none,,
per_cheri_honkala,Cheri Honkala,person,afgj-interlock,,,,none,,
per_cindy_sheehan,Cindy Sheehan,person,afgj-interlock,,,,none,,
per_cornel_west,Cornel West,person,afgj-interlock,,,,none,,
per_cory_jong,Cory Jong,person,afgj-interlock,,,,none,,
per_dakotah_lilly,Dakotah Lilly,person,afgj-interlock,,,,none,travel mention only: New York,
per_david_foecke,David Foecke,person,afgj-interlock,,,,none,,
per_devin_michael_lowe,Devin Michael Lowe,person,afgj-interlock,,,,none,,
per_diane_limas,Diane Limas,person,afgj-interlock,,,,none,,
per_dr_patrisia_gonzales,Dr. Patrisia Gonzales,person,afgj-interlock,,,,none,,
per_elaine_brower,Elaine Brower,person,afgj-interlock,,,,none,,
per_evana,Evana,person,afgj-interlock,,,,none,,
per_firas_nasr,Firas Nasr,person,afgj-interlock,,,,none,,
per_gabrielle_lenart,Gabrielle Lenart,person,afgj-interlock,,,,none,,
per_gary_ghirardi,Gary Ghirardi,person,afgj-interlock,,,,none,,
per_joan_donovan,Joan Donovan,person,afgj-interlock,,,,none,,
per_johnnie_jae,Johnnie Jae,person,afgj-interlock,,,,none,,
per_kevin_zeese,Kevin Zeese,person,afgj-interlock,,,,none,,
per_khafre_jay,Khafre Jay,person,afgj-interlock,,,,none,,
per_kristen_godfrey,Kristen Godfrey,person,afgj-interlock,,,,none,,
per_lourdez,Lourdez,person,afgj-interlock,,,,none,,
per_makayla_heiser,Makayla Heiser,person,afgj-interlock,,,,none,,
per_margaret_flowers,Margaret Flowers,person,afgj-interlock,,,,none,,
per_mark_swartz,Mark Swartz,person,afgj-interlock,,,,none,,
per_mattie,Mattie,person,afgj-interlock,,,,none,,
per_maurice_cook,Maurice Cook,person,afgj-interlock,,,,none,,
per_mavis_jay_sanders,Mavis-Jay Sanders,person,afgj-interlock,,,,none,,
per_michael_novick,Michael Novick,person,afgj-interlock,,,,none,,
per_mirely_baca,Mirely Baca,person,afgj-interlock,,,,none,,
per_moira_meltzer_cohen,Moira Meltzer-Cohen,person,afgj-interlock,,,,none,,
per_oren_robinson,Oren Robinson,person,afgj-interlock,,,,none,,
per_page_may,Page May,person,afgj-interlock,,,,none,,
per_pat_alviso,Pat Alviso,person,afgj-interlock,,,,none,,
per_rachel_o_leary_carmona,Rachel O'Leary Carmona,person,afgj-interlock,,,,none,,
per_rachel_wilson,Rachel Wilson,person,afgj-interlock,,,,none,,
per_samantha_parsons,Samantha Parsons,person,afgj-interlock,,,,none,,
per_steve_lalla,Steve Lalla,person,afgj-interlock,,,,none,,
per_sunsara_taylor,Sunsara Taylor,person,afgj-interlock,,,,none,,
per_t_dubb_o,T-Dubb-O,person,afgj-interlock,,,,none,,
per_t_loving,T Loving,person,afgj-interlock,,,,none,,
per_t_sheri_dickerson,T. Sheri Dickerson,person,afgj-interlock,,,,none,,
per_taureen_tory_russell,"Taureen ""Tory"" Russell",person,afgj-interlock,,,,none,,
per_trayce_peterson,Trayce Peterson,person,afgj-interlock,,,,none,,
per_vee_morris_moore,Vee Morris Moore,person,afgj-interlock,,,,none,,
per_vik_velazquez_morales,Vikó Velazquez Morales,person,afgj-interlock,,,,none,,
pfetcher,Jason Pfetcher,person,singham-spine,,,,none,,
pflp,Popular Front for the Liberation of Palestine (PFLP),org,iran-network,,,,none,,
puryear,Eugene Puryear,person,singham-spine,,,,none,,
reyes,Karla Reyes,person,singham-spine,,,,none,,
richard_becker,Richard Becker,person,hatuey,,,,none,,
rose_benjamin,Rose Benjamin,person,iran-network,,,,none,,
rub_al_tajammu,Al-Tajammu,org,rubio-cuba,,,,none,,
rub_alpha_66,Alpha 66,org,rubio-cuba,,,,none,,
rub_belly_of_the_beast_llc,Belly of the Beast LLC,org,rubio-cuba,,,,none,,
rub_black_liberation_army,Black Liberation Army,org,rubio-cuba,,,,none,,
rub_black_panther_party,Black Panther Party,org,rubio-cuba,,,,none,,
rub_brothers_to_the_rescue,Brothers to the Rescue,org,rubio-cuba,,,,none,,
rub_changingfrequencies,changingFrequencies,org,rubio-cuba,,,,none,,
rub_cuban_american_national_fo,Cuban American National Foundation,org,rubio-cuba,,,,none,,
rub_democratic_front_for_the_l,Democratic Front for the Liberation of Palestine,org,rubio-cuba,,,,none,,
rub_eln,ELN,org,rubio-cuba,,,,none,,
rub_equality_for_flatbush,Equality for Flatbush,org,rubio-cuba,,,,none,,
rub_f_4_commandos,F-4 Commandos,org,rubio-cuba,,,,none,,
rub_fair_play_for_cuba_committ,Fair Play for Cuba Committee,org,rubio-cuba,,,,none,travel mention only: NYC,
rub_faln,FALN,org,rubio-cuba,,,,none,,
rub_george_floyd_riots_antifa,George Floyd riots / Antifa / campus activism,concept,rubio-cuba,,,,none,,
rub_haitian_women_for_haitian,Haitian Women for Haitian Refugees,org,rubio-cuba,,,,none,,
rub_hamas,Hamas,org,rubio-cuba,,,,none,,
rub_hezbollah,Hezbollah,org,rubio-cuba,,,,none,,
rub_houthis,Houthis,org,rubio-cuba,,,,none,,
rub_international_may_day_brig,International May Day Brigade,org,rubio-cuba,,,,none,,
rub_may_19th_communist_organiz,May 19th Communist Organization,org,rubio-cuba,,,,none,,
rub_montoneros,Montoneros,org,rubio-cuba,,,,none,,
rub_national_network_on_cuba,National Network on Cuba,org,rubio-cuba,,,,none,,
rub_olas,OLAS,org,rubio-cuba,,,,none,travel mention only: Havana,
rub_p_alicia_garza,Alicia Garza,person,rubio-cuba,,,,none,,
rub_p_angela_davis,Angela Davis,person,rubio-cuba,,,,none,,
rub_p_asad_rehman,Asad Rehman,person,rubio-cuba,,,,none,,
rub_p_bernardine_dohrn,Bernardine Dohrn,person,rubio-cuba,,,,none,,
rub_p_bill_ayers,Bill Ayers,person,rubio-cuba,,,,none,,
rub_p_kathy_boudin,Kathy Boudin,person,rubio-cuba,,,,none,,
rub_p_leonard_boudin,Leonard Boudin,person,rubio-cuba,,,,none,,
rub_p_nayef_hawatmeh,Nayef Hawatmeh,person,rubio-cuba,,,,none,,
rub_p_onyesonwu_chatoyer,Onyesonwu Chatoyer,person,rubio-cuba,,,,none,,
rub_p_opal_tometi,Opal Tometi,person,rubio-cuba,,,,none,,
rub_p_rev_lucius_walker,Rev. Lucius Walker,person,rubio-cuba,,,,none,,
rub_p_robert_f_williams,Robert F. Williams,person,rubio-cuba,,,,none,,
rub_p_suzanne_adely,Suzanne Adely,person,rubio-cuba,,,,none,,
rub_palestine_liberation_organ,Palestine Liberation Organization,org,rubio-cuba,,,,none,,
rub_palestinian_islamic_jihad,Palestinian Islamic Jihad,org,rubio-cuba,,,,none,,
rub_republic_of_new_afrika,Republic of New Afrika,org,rubio-cuba,,,,none,,
rub_student_nonviolent_coordin,Student Nonviolent Coordinating Committee,org,rubio-cuba,,,,none,,
rub_students_for_a_democratic,Students for a Democratic Society,org,rubio-cuba,,,,none,,
rub_the_jericho_movement,The Jericho Movement,org,rubio-cuba,,,,none,,
rub_tupamaros,Tupamaros,org,rubio-cuba,,,,none,,
rub_venceremos_brigade,Venceremos Brigade,org,rubio-cuba,,,,none,,
rub_viva_palestina_us,Viva Palestina US,org,rubio-cuba,,,,none,,
rub_weather_underground,Weather Underground,org,rubio-cuba,,,,none,,
rubio_report,Rubio Cuba Report (State Dept.),concept,rubio-cuba,,,,none,,
samidoun,Samidoun Palestinian Prisoner Solidarity Network,org,iran-network,,,,none,,
santos,Lucas Tinti dos Santos,person,singham-spine,,,,none,,
seal,ICAP 65th-Anniversary Seal,concept,hatuey,,,,none,,
taylor,Nancy Taylor,person,singham-spine,,,,none,,
viq,"Rachel Viqueira, MHS",person,afgj-interlock,,,,none,,
wathington,Chad Wathington,person,singham-spine,,,,none,,
wfdy,World Federation of Democratic Youth,org,latam-solidarity,,,,none,,
wider,Phil Wider,person,singham-spine,,,,none,,
xiao,Sheila Xiao,person,singham-spine,,,,none,,
yee,Amanda Yee,person,hatuey,,,,none,,
