id,label,kind,country,out_edges,in_edges,total,top_out_relations
hss,Hanns Seidel Foundation USA (HSS),org,Germany,0,1,1,
hub_autonomous_tenants_union,Autonomous Tenants Union,org,,0,1,1,
iranian_red_crescent,Iranian Red Crescent Society,org,Iran,0,1,1,
janequine,Olivia Goncalves Janequine,person,,1,0,1,member 1
jonathan_raggett,Jonathan 'Jonny' Raggett,person,,1,0,1,officer 1
kas,Konrad Adenauer Stiftung Inc (KAS),org,Germany,0,1,1,
krouth,Kristine Teresa Krouth,person,,1,0,1,member 1
luvela,Smangele Luvela,person,,1,0,1,member 1
maura,Eduardo Maura,person,Spain,1,0,1,member 1
mcalevey,Jane McAlevey,person,,1,0,1,designed_curriculum 1
mccarthy,Bobbette McCarthy,person,,1,0,1,network 1
mfernandez,Mariana Fernandez,person,,1,0,1,officer 1
minsap,MINSAP (Cuban Health Ministry),org,,0,1,1,
moseley,Saidi Moseley,person,,1,0,1,education_coordinator 1
p_411_collective,411 Collective,project,,0,1,1,
p_action_bail_fund,Action Bail Fund,project,,0,1,1,
p_african_awareness_association,African Awareness Association,project,,0,1,1,
p_amigos_de_la_playa,Amigos de la Playa,project,,0,1,1,
p_asotrecol,ASOTRECOL,project,,0,1,1,
p_az_jobs_with_justice,AZ Jobs with Justice,project,,0,1,1,
p_beef_relief,Beef Relief,project,,0,1,1,
p_black_lives_matter_tucson,Black Lives Matter Tucson,project,,0,1,1,
p_bukit_bail_fund_of_pittsburgh,Bukit Bail Fund of Pittsburgh,project,,0,1,1,
p_bv_solidarity_project,BV Solidarity Project,project,,0,1,1,
p_camino_com_n,Camino Común,project,,0,1,1,
p_central_ohio_freedom_fund,Central Ohio Freedom Fund,project,,0,1,1,
p_centro_de_derechos_humanos_del_pac_fic,Centro de Derechos Humanos del Pacífico (Centro Pazífico),project,,0,1,1,
p_centro_solidario_de_puerto_rico,Centro Solidario de Puerto Rico,project,,0,1,1,
p_chico_mendes_reforestation_project,Chico Mendes Reforestation Project,project,,0,1,1,
p_clean_up_the_mines,Clean up the Mines,project,,0,1,1,
p_community_action_relief_project,Community Action Relief Project,project,,0,1,1,
p_creating_a_more_beloved_community_film,Creating a More Beloved Community Film & Discussion Series,project,,0,1,1,
p_denver_justice_project,Denver Justice Project,project,,0,1,1,
p_erie_bail_fund,Erie Bail Fund,project,,0,1,1,
p_eritye_papa_desalin,Eritye Papa Desalin,project,,0,1,1,
p_free_mumia_abu_jamal_coalition,Free Mumia Abu-Jamal Coalition,project,,0,1,1,
p_friends_of_gente_de_i_itoi_a_c,"Friends of Gente de I’itoi, A.C.",project,,0,1,1,
p_friends_of_mujeres_de_la_tierra,Friends of Mujeres de la Tierra,project,,0,1,1,
p_gno_interfaith_sanctuary_coalition,GNO Interfaith Sanctuary Coalition,project,,0,1,1,
p_hampshire_college_legal_support_fund,Hampshire College Legal Support Fund,project,,0,1,1,
p_human_rights_school,Human Rights School,project,,0,1,1,
p_initiative_for_equality,Initiative for Equality,project,,0,1,1,
p_international_indigenous_initiative_fo,InterNational Indigenous Initiative for Transformative Collaboration,project,,0,1,1,
p_international_journal_of_foreign_langu,International Journal of Foreign Language Teaching,project,,0,1,1,
p_irish_diaspora_decolonization_alliance,Irish Diaspora Decolonization Alliance,project,,0,1,1,
p_juthour_arboretum,Juthour Arboretum,project,,0,1,1,
p_la_colectiva,La ColectiVA,project,,0,1,1,
p_lancaster_bail_fund,Lancaster Bail Fund,project,,0,1,1,
p_legal_defense_for_palestine,Legal Defense for Palestine,project,,0,1,1,
p_lgbt_freedom_and_asylum_network,LGBT Freedom and Asylum Network,project,,0,1,1,
p_lgbt_voice_tanzania,LGBT Voice Tanzania,project,,0,1,1,
p_lo_eterno_media_collective,Lo Eterno Media Collective,project,,0,1,1,
p_lupinewood,Lupinewood,project,,0,1,1,
p_march_4_racial_justice_ny,March 4 Racial Justice NY,project,,0,1,1,
p_miracle_for_mikeals_legacy_foundation,Miracle For Mikeals Legacy Foundation,project,,0,1,1,
p_mosaic_black_trans_funding_network,Mosaic Black Trans Funding Network,project,,0,1,1,
p_national_association_of_human_rights_d,National Association of Human Rights Defenders,project,,0,1,1,
p_nicaragua_solidarity_fund,Nicaragua Solidarity Fund,project,,0,1,1,
p_o_odham_anti_border_collective,O’odham Anti Border Collective,project,,0,1,1,
p_otros_mundos_a_c,Otros Mundos A.C.,project,,0,1,1,
p_peace_education,Peace Education,project,,0,1,1,
p_philly_thrive,Philly Thrive,project,,0,1,1,
p_pueblo_sin_fronteras,Pueblo Sin Fronteras,project,,0,1,1,
p_radical_bloggers_fund,Radical Bloggers Fund,project,,0,1,1,
p_real_name_campaign_nola,Real Name Campaign NOLA,project,,0,1,1,
p_reale_justice_network,Reale Justice Network,project,,0,1,1,
p_reconnect_earth,Reconnect Earth,project,,0,1,1,
p_red_de_solidaridad,Red de Solidaridad,project,,0,1,1,
p_return_solidarity,Return Solidarity,project,,0,1,1,
p_reuniting_of_african_descendants_road,Reuniting of African Descendants (ROAD),project,,0,1,1,
p_solidarity_ignite,Solidarity Ignite,project,,0,1,1,
p_suriname_indigenous_health_fund,Suriname Indigenous Health Fund,project,,0,1,1,
p_sustainable_nations,Sustainable Nations,project,,0,1,1,
p_ta_ayush,Ta’ayush,project,,0,1,1,
p_the_l_i_c_project,The L.I.C. Project,project,,0,1,1,
p_ubuntu,UBUNTU,project,,0,1,1,
p_unir,UNIR,project,,0,1,1,
p_upland_grassroots,Upland Grassroots,project,,0,1,1,
p_white_noise_collective,White Noise Collective,project,,0,1,1,
p_woodbine_education_center,Woodbine Education Center,project,,0,1,1,
per_bella_de_soto,Bella De Soto,person,,1,0,1,role 1
per_cory_jong,Cory Jong,person,,1,0,1,role 1
per_david_foecke,David Foecke,person,,1,0,1,role 1
per_dr_patrisia_gonzales,Dr. Patrisia Gonzales,person,,1,0,1,role 1
per_evana,Evana,person,,1,0,1,role 1
per_gabrielle_lenart,Gabrielle Lenart,person,,1,0,1,role 1
per_johnnie_jae,Johnnie Jae,person,,1,0,1,role 1
per_kristen_godfrey,Kristen Godfrey,person,,1,0,1,role 1
per_kristen_hackett,Kristen Hackett,person,,1,0,1,role 1
per_lourdes_escalante,Lourdes Escalante,person,,1,0,1,role 1
per_marlen_s_nchez,Marlen Sánchez,person,Nicaragua,1,0,1,role 1
per_mavis_jay_sanders,Mavis-Jay Sanders,person,,1,0,1,role 1
per_mcahl_sheffield,Mcahl Sheffield,person,,1,0,1,role 1
per_melina_abdullah,Melina Abdullah,person,,1,0,1,role 1
per_mohyeddin_abdulaziz,Mohyeddin Abdulaziz,person,,1,0,1,role 1
per_moira_meltzer_cohen,Moira Meltzer-Cohen,person,,1,0,1,role 1
per_rachel_wilson,Rachel Wilson,person,,1,0,1,role 1
per_samantha_butler,Samantha Butler,person,,1,0,1,role 1
per_steve_lalla,Steve Lalla,person,,1,0,1,role 1
per_sunny_levine,Sunny Levine,person,,1,0,1,role 1
per_t_dubb_o,T-Dubb-O,person,,1,0,1,role 1
pfetcher,Jason Pfetcher,person,,1,0,1,member 1
podemos,Podemos,org,Spain,0,1,1,
pwa,People's Welfare Association,org,,0,1,1,
rhc,Radio Havana Cuba / Prensa Latina / Granma,org,,0,1,1,
ron,Carlos Ron,person,Venezuela,1,0,1,role 1
rub_al_tajammu,Al-Tajammu,org,,1,0,1,cited_context 1
rub_amazon_labor_union,Amazon Labor Union,org,,1,0,1,cited_context 1
rub_belly_of_the_beast_llc,Belly of the Beast LLC,org,,1,0,1,cited_context 1
rub_black_lives_matter_at_scho,Black Lives Matter at School,org,,1,0,1,cited_context 1
rub_black_lives_matter_grassro,Black Lives Matter Grassroots,org,,1,0,1,cited_context 1
rub_british_cuba_solidarity_ca,British Cuba Solidarity Campaign,org,UK,1,0,1,cited_network 1
rub_changingfrequencies,changingFrequencies,org,,1,0,1,cited_context 1
rub_claudia_jones_school,Claudia Jones School,org,,0,1,1,
rub_cuban_interests_section,Cuban Interests Section,org,Cuba,1,0,1,coordinates_with 1
rub_cuban_mission_to_the_un,Cuban Mission to the UN,org,Cuba,1,0,1,state_organ 1
rub_eln,ELN,org,,1,0,1,cited_designation 1
rub_equality_for_flatbush,Equality for Flatbush,org,,1,0,1,cited_context 1
rub_f_4_commandos,F-4 Commandos,org,,1,0,1,cited_opposition 1
rub_george_floyd_riots_antifa,George Floyd riots / Antifa / campus activism,concept,,1,0,1,cited_context 1
rub_germany_cuba_friendship_as,Germany-Cuba Friendship Association,org,Germany,1,0,1,cited_network 1
rub_haitian_women_for_haitian,Haitian Women for Haitian Refugees,org,,1,0,1,cited_context 1
rub_houthis,Houthis,org,,1,0,1,cited_designation 1
rub_montoneros,Montoneros,org,,1,0,1,cited_historical 1
rub_nation_of_islam,Nation of Islam,org,,1,0,1,cited_context 1
rub_national_conference_of_bla,National Conference of Black Lawyers,org,,1,0,1,cited_context 1
rub_olas,OLAS,org,,1,0,1,cited_context 1
rub_p_asad_rehman,Asad Rehman,person,,1,0,1,role 1
rub_p_charles_charlie_hill,Charles 'Charlie' Hill,person,Cuba,1,0,1,role 1
rub_p_rev_lucius_walker,Rev. Lucius Walker,person,,1,0,1,role 1
rub_p_suzanne_adely,Suzanne Adely,person,,1,0,1,role 1
rub_radio_habana,Radio Habana,org,Cuba,1,0,1,state_media 1
rub_tupamaros,Tupamaros,org,,1,0,1,cited_designation 1
rub_viva_palestina_us,Viva Palestina US,org,,0,1,1,
rub_witness_for_peace_solidari,Witness for Peace Solidarity Collective,org,,1,0,1,member 1
rub_zimbabwe_african_people_s,Zimbabwe African People's Union,org,Zimbabwe,1,0,1,foreign_tie 1
seal,ICAP 65th-Anniversary Seal,concept,,0,1,1,
singham_shanti,Shanti Singham,person,,1,0,1,foreign_tie 1
social_good_fund,Social Good Fund,org,,0,1,1,
trochowski,Daniela Trochowski,person,Germany,1,0,1,director 1
uk_labour,UK Labour Party,org,UK,0,1,1,
wathington,Chad Wathington,person,,1,0,1,former_officer 1
wfdy,World Federation of Democratic Youth,org,,1,0,1,organized 1
inv_sacp,South African Communist Party (SACP),org,South Africa,1,0,1,supported 1
inv_cosatu,COSATU (Congress of South African Trade Unions),org,South Africa,1,0,1,supported 1
inv_juan_ruiz_rivera_brigade,"""Juan Ruiz Rivera"" Puerto Rican Solidarity Brigade",org,,0,1,1,
gonzales,Kate Gonzales,person,,0,0,0,
santos,Lucas Tinti dos Santos,person,,0,0,0,
